"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 06 11:49:36 UTC 2025","Wed Aug 06 11:49:36 UTC 2025","0","","test_sample","","","","test_inc",""
"passed","Wed Aug 06 11:49:35 UTC 2025","Wed Aug 06 11:49:36 UTC 2025","130","","test_api","","","","Проверка GET /posts/1","Убедиться, что запрос к JSONPlaceholder возвращает статус 200 и валидные поля"
"passed","Wed Aug 06 11:49:36 UTC 2025","Wed Aug 06 11:49:36 UTC 2025","47","","test_api","","","","Проверка GET /posts/100","Убедиться, что запрос к JSONPlaceholder возвращает статус 200 и валидные поля"
"passed","Wed Aug 06 11:49:36 UTC 2025","Wed Aug 06 11:49:36 UTC 2025","41","","test_api","","","","Проверка GET /posts/50","Убедиться, что запрос к JSONPlaceholder возвращает статус 200 и валидные поля"
